Title,Price,Number of Buyers,Number of Ratings,Rating,Image Link
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),569,100+ bought in past month,"14,506",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81rtGqr3WVL._AC_UL320_.jpg
Men Regular Fit Pants,"1,189",M.R.P:,69,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51yaOO9DRAL._AC_UL320_.jpg
"Men Combo Track Pant with Lycra Elastic Jogger Suitable for Active Wear, Jogger Yoga Wear, Sports (Pack of 2)",379,100+ bought in past month,896,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41tC6RU26KL._AC_UL320_.jpg
McHenry Men's Solid Formal Regular Fit Wrinkle Free PolyViscose Trousers,799,M.R.P:,"8,647",3.7 out of 5 stars,https://m.media-amazon.com/images/I/71A+njopkfL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71roJPdmbSL._AC_UL320_.jpg
Men's Lycra Blend Regular Fit Causal Trouser Pants,299,M.R.P:,42,3.3 out of 5 stars,https://m.media-amazon.com/images/I/51kfHmBjqCL._AC_UL320_.jpg
Men's Casual Cotton Pants | Scoop Pocket Chinos | Trousers (Regular Fit),629,M.R.P:,"11,492",3.5 out of 5 stars,https://m.media-amazon.com/images/I/81rHWBHIOyL._AC_UL320_.jpg
Men's Sports Regular Fit Lycra Track Pant with Two Side Pockets,399,M.R.P:,24,3.3 out of 5 stars,https://m.media-amazon.com/images/I/31vy0eUSZtL._AC_UL320_.jpg
Men's Comfortable Lounge Pants,"1,022",M.R.P:,8,3.5 out of 5 stars,https://m.media-amazon.com/images/I/61K5FFKpSnL._AC_UL320_.jpg
"Stylish Solid Polyester Blend Track Pant for Men, Pack of 2",399,M.R.P:,14,3.3 out of 5 stars,https://m.media-amazon.com/images/I/613tynckthL._AC_UL320_.jpg
Trouser for Men,349,M.R.P:,"1,363",4.1 out of 5 stars,https://m.media-amazon.com/images/I/51lBRcXa4SL._AC_UL320_.jpg
Men Regular Fit Pajama Bottom,719,M.R.P:,"3,995",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51FeNKCNQwL._AC_UL320_.jpg
Women's High-Waisted Pant |Bell Bottom Trendy Retro-Chic Trousers - Perfect for Every Occasion,272,100+ bought in past month,275,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41DbwYUdtXL._AC_UL320_.jpg
Kurti Pant (Free Size) Black,329,200+ bought in past month,435,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61k4Xy8b8gL._AC_UL320_.jpg
Gym wear Mesh Leggings Workout Pants with Side Pockets/Stretchable Tights/Highwaist Sports Fitness Yoga Track Pants for Women & Girls_2012,369,300+ bought in past month,"5,133",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61OZ2jbO7pL._AC_UL320_.jpg
"Track Pants for Men: Regular Fit Cotton Blend Lower with 2 Side Zipper Pockets, Back Pocket - Your Go-to for Running, Gym, and Comfortable Style.",499,M.R.P:,"11,704",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51EVmn6GpaL._AC_UL320_.jpg
Women's Sloane Tailored Pant,899,M.R.P:,4,3.4 out of 5 stars,https://m.media-amazon.com/images/I/61ehQhxRfkL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (TP-12-15),437,M.R.P:,232,3.3 out of 5 stars,https://m.media-amazon.com/images/I/61y3y0IpYqL._AC_UL320_.jpg
Women's Stretch Fit Yoga Pants,429,200+ bought in past month,"8,552",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61R68xlxbnL._AC_UL320_.jpg
Trousers for Women | Women Trousers | Women's High-Waisted Pant | Women Trousers Pants | Korean Trousers for Women,339,M.R.P:,"2,578",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51Z6ckrnQrL._AC_UL320_.jpg
Women Solid Stretch Staight Pants,599,M.R.P:,88,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61T91QP6e0L._AC_UL320_.jpg
8820 Men's Super Combed Cotton Round Neck Sleeveless Vest with Extended Length for Easy Tuck (Pack of 3),650,2K+ bought in past month,"8,190",4.3 out of 5 stars,https://m.media-amazon.com/images/I/81MfjxIbRsL._AC_UL320_.jpg
Men's Solid Super Slim Fit Front Knit Trouser,960,50+ bought in past month,222,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51+KtL2DjqL._AC_UL320_.jpg
Trouser Pant for Men | Track Pant for Men Loose Fit | Sports Track Pant for Men | Track Pant Men | Men Stylish Track Pant,339,600+ bought in past month,252,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51q+2tyUemL._AC_UL320_.jpg
McHenry Men's Stretchable Wrinkle Free self Design Formal Trousers for Men,799,M.R.P:,157,3.7 out of 5 stars,https://m.media-amazon.com/images/I/71k+p5uFMWL._AC_UL320_.jpg
McHenry Mens' Regular Fit Poly Blended Checkered Formal Trousers,799,M.R.P:,"1,668",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61lfvywdgHL._AC_UL320_.jpg
"KareMed Comfort Adult Diaper Pants, Medium 75-100 Cm (30""- 40""), 10 Count, Unisex, Leakproof, Elastic Waist, Wetness Indicator",218,4K+ bought in past month,732,4.1 out of 5 stars,https://m.media-amazon.com/images/I/71bECAHRw1L._AC_UL320_.jpg
100% Woven Cotton Fabric Kurti Pant/Trousers with Functional Pocket for Women,599,N/A,102,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51DGWmZdrhL._AC_UL320_.jpg
Men's Slim Fit Flexi Waist Casual Pants,"1,799",M.R.P:,411,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71DKPEImteL._AC_UL320_.jpg
Men's Trouser II Men's Regular Casual Pants II Men's Regular Fit Casual Trouser (Trousers-120),284,M.R.P:,136,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61VhkEAKfYL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61Chb1dL6+L._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-30-33),599,100+ bought in past month,270,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61SVBzBmAkL._AC_UL320_.jpg
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),799,"(₹3,99,500₹3,99,500/100 g)","14,506",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41ktvpZIZeL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cago-22-25),519,100+ bought in past month,258,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61IEeJb0zsL._AC_UL320_.jpg
"MamyPoko Pants Standard Baby Diapers, Medium (M), 52 Count, 7-12kg",599,200+ bought in past month,"27,983",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71ESbcqLfaL._AC_UL320_.jpg
Mid-Rise Solid Metallic Straight Pants with Functional Pockets for Women,599,N/A,192,3.7 out of 5 stars,https://m.media-amazon.com/images/I/518a5bDfHcL._AC_UL320_.jpg
(Combo Ravishing Glamarours Cotton Stretchable Casual Cigarette Lycra Pants for Girls/Ladies/Women,389,M.R.P:,423,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51iI6KgqofL._AC_UL320_.jpg
Men Regular Fit Casual Pants,899,M.R.P:,1,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51VYZreQCYL._AC_UL320_.jpg
Track Pant for Men || Track Pants || Plain Track Pant (TP-20-24),437,M.R.P:,392,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51lrtnihRuL._AC_UL320_.jpg
Men's Reguler Fit Polycotton Trouser Pant's Formal Trouser Casual Trouser Pant,499,50+ bought in past month,148,3.9 out of 5 stars,https://m.media-amazon.com/images/I/513zdCLu7UL._AC_UL320_.jpg
Men's Slim Fit Track Pants,398,50+ bought in past month,"3,999",4.1 out of 5 stars,https://m.media-amazon.com/images/I/61yfHQZPDoL._AC_UL320_.jpg
Men's Slim Pants,"1,029",M.R.P:,46,3.8 out of 5 stars,https://m.media-amazon.com/images/I/513D7gip-PL._AC_UL320_.jpg
Men Regular Fit Casual Pants,"1,919",M.R.P:,3,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51W7c8ISOSL._AC_UL320_.jpg
Men's Trousers Light Business Style Slightly Stretch Straight Leg Pants for Outdoor Casual Daily Trouser II Men's Regular Casual Pants Trouser (Trouser 126),738,M.R.P:,148,3.7 out of 5 stars,https://m.media-amazon.com/images/I/61BagBJnzQL._AC_UL320_.jpg
"Solid Cotton Men's Casual Cargo Pant, Tapered Fit, Mid Rise, Ankle Length Multi-Pocket Stretchable Cargos for Men, Trousers",869,M.R.P:,"1,011",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51JEAdK1YlL._AC_UL320_.jpg
Men Printed Cotton Blend Slim Fit Regular Cargo Joggers,699,M.R.P:,271,3.9 out of 5 stars,https://m.media-amazon.com/images/I/517PzWn20XL._AC_UL320_.jpg
Women's Solid Comfort Fit Cotton Joggers Track Pant,569,M.R.P:,52,4.3 out of 5 stars,https://m.media-amazon.com/images/I/71VQQmURnUL._AC_UL320_.jpg
Cotton Multi-Pocket Cargo Pant for Women,479,M.R.P:,149,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41Tu5CFFnmL._AC_UL320_.jpg
Boys Track Pants(Pack of 4),539,M.R.P:,323,3.9 out of 5 stars,https://m.media-amazon.com/images/I/81JhTlPEwIL._AC_UL320_.jpg
"Little's Baby Diapers XXL Size | Pants Style | 15-25 kg | 44 Count - Pack of 2 | CottonSoft Baby Diaper with Leakage Guard, Wetness Indicator & 12 Hours Absorption",525,6K+ bought in past month,"75,827",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71Vfe2OafFL._AC_UL320_.jpg
Men's Regular Fit Polyester Track Pant,349,M.R.P:,923,3.2 out of 5 stars,https://m.media-amazon.com/images/I/51tqZnbSGkL._AC_UL320_.jpg
Men's Slim Casual Pants,939,50+ bought in past month,24,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51RXbWExbhL._AC_UL320_.jpg
Men Regular Fit Pants,899,M.R.P:,1,5.0 out of 5 stars,https://m.media-amazon.com/images/I/5127Fmrib5L._AC_UL320_.jpg
Boys Regular Fit Blended Cotton Stylish Track Pants - Pack of 3,719,M.R.P:,292,3.7 out of 5 stars,https://m.media-amazon.com/images/I/61scsWzNswL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-26-29),499,300+ bought in past month,250,4.4 out of 5 stars,https://m.media-amazon.com/images/I/61mbTZ7kTBL._AC_UL320_.jpg
Men's Regular Fit Joggers Track Pant,380,M.R.P:,"1,048",4.0 out of 5 stars,https://m.media-amazon.com/images/I/519DOK5D4IL._AC_UL320_.jpg
Women AM PM Cotton Straight Pants | Wide Waistband | High Rise | Drawstring | 2 Pockets,"1,249",50+ bought in past month,101,4.0 out of 5 stars,https://m.media-amazon.com/images/I/31h81ujYXwL._AC_UL320_.jpg
9510 Men's Super Combed Cotton Rich Slim Fit Trackpants with Side and Back Pockets,"1,199",50+ bought in past month,"5,913",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71dvF57HsnL._AC_UL320_.jpg
Women's High-Waisted Pant Bell Bottom Trendy Retro-Chic Classic Fit Trousers - Perfect For Every Occasion,299,M.R.P:,333,3.9 out of 5 stars,https://m.media-amazon.com/images/I/51MzfM-Jm0L._AC_UL320_.jpg
Slim Fit Stretchable Jeans for Men | Mens Denim Cotton Pants | Stylish Ankle Length Jean,"1,999",M.R.P:,335,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41VRGCB7trL._AC_UL320_.jpg
Women's Regular Cotton Trousers,899,M.R.P:,127,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41Z1YIKEPAL._AC_UL320_.jpg
Women's Solid Cotton Slub Ankle Length Regular Trouser Pant,419,50+ bought in past month,"3,034",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61JcIxx5zqL._AC_UL320_.jpg
Men's Regular Track Pants,"1,049",50+ bought in past month,396,3.7 out of 5 stars,https://m.media-amazon.com/images/I/716j+9hxCJL._AC_UL320_.jpg
"Formal Pant with Expandable Waist for Men. Regular Fit, Flat Front, Premium Lycra Fabric for Office, Party and Casual Wear",999,M.R.P:,752,3.5 out of 5 stars,https://m.media-amazon.com/images/I/51EwZjK-jqL._AC_UL320_.jpg
Woman's Plain Cotton Patiala Salwar Combo of 2 (Free Size) Patiala || Patiyala || Patiala Pants || Cotton Patiala || Patiala Combo for Women's,593,50+ bought in past month,3,5.0 out of 5 stars,https://m.media-amazon.com/images/I/41iX7lctW4L._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-13-16),549,50+ bought in past month,237,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61LoR-kg5CL._AC_UL320_.jpg
Mens Straight-fit Track Pants,"1,199",More Buying Choices,"1,797",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71V9rVCEBvL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Army),549,200+ bought in past month,346,3.7 out of 5 stars,https://m.media-amazon.com/images/I/61IEV2+5pbL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-01-04),499,300+ bought in past month,"6,908",3.6 out of 5 stars,https://m.media-amazon.com/images/I/51FICIl4KjL._AC_UL320_.jpg
Men's Regular Casual Pants,662,M.R.P:,"1,327",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51w-NkT99xL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-09-12),549,300+ bought in past month,"2,142",3.7 out of 5 stars,https://m.media-amazon.com/images/I/61tfGGTP2UL._AC_UL320_.jpg
Luxury PV Stretchable Casual Pant for Men | Stylish Slim Fit Men's Wear Trousers for Office or Party | Mens Fashion Dress Trouser with Expandable Waist & 4 Way Stretch,"1,799",M.R.P:,17,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71uK9lIemoL._AC_UL320_.jpg
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Regular Fit)(Pack of 5),649,M.R.P:,"14,506",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71jP7uOISSL._AC_UL320_.jpg
McHenry Men's Wrinkle Free Polyester Blended Stretchable Self Design Formal Regular Fit Trousers,799,M.R.P:,527,3.6 out of 5 stars,https://m.media-amazon.com/images/I/51J6jHadyUL._AC_UL320_.jpg
relaxfit Skin Soft Pure Cotton Plain Hosiery Lower (Trackpant) for Men ( Size AVAIABLE S to 6XL,459,M.R.P:,8,4.6 out of 5 stars,https://m.media-amazon.com/images/I/61l90s08PbL._AC_UL320_.jpg
"Women Smart Tech+ Regular Fit Lounge Pants - Easy Stain Release, Moisture Wicking, Ultra Soft",579,50+ bought in past month,"5,507",4.2 out of 5 stars,https://m.media-amazon.com/images/I/811VLIonjKL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61Chb1dL6+L._AC_UL320_.jpg
Women's Regular Track Pants,479,M.R.P:,146,4.1 out of 5 stars,https://m.media-amazon.com/images/I/51dxHDN+xqL._AC_UL320_.jpg
Boys Regular Fit Blended Cotton Stylish Track Pants - Pack of 3,719,100+ bought in past month,526,3.8 out of 5 stars,https://m.media-amazon.com/images/I/61RVaanPuaL._AC_UL320_.jpg
Men Regular Fit Casual Pants,799,M.R.P:,389,3.6 out of 5 stars,https://m.media-amazon.com/images/I/61b1YMTT0CL._AC_UL320_.jpg
Women Mid Rise Kurti Pant,899,N/A,872,4.2 out of 5 stars,https://m.media-amazon.com/images/I/51vyrtzc-sL._AC_UL320_.jpg
Women Cotton Blend Pack of 2 Track Pant for Summer || Women Lower || Women Pyjama || Lounge Pants,479,100+ bought in past month,"1,717",3.8 out of 5 stars,https://m.media-amazon.com/images/I/614MUnGIU7L._AC_UL320_.jpg
Men's Regular Track Pants,439,M.R.P:,"1,220",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61mp12NqMsL._AC_UL320_.jpg
Women The Ultimate Straight Pants | Trousers for Women | Straight Fit | Pintuck Design | Polyester,"1,249",M.R.P:,254,4.2 out of 5 stars,https://m.media-amazon.com/images/I/31oa4AzaP2L._AC_UL320_.jpg
"Pampers Premium Care Pants, Double Extra Large size baby diapers (XXL), 30 Count, Softest ever Pampers pants",899,4K+ bought in past month,"53,432",4.4 out of 5 stars,https://m.media-amazon.com/images/I/61oWFMtz0cL._AC_UL320_.jpg
"Bumtum Chota Bheem XXL Size Baby Diaper Pants, 66 Count, Leakage Protection Infused With Aloe Vera, Cottony Soft High Absorb Technology",910,900+ bought in past month,366,3.8 out of 5 stars,https://m.media-amazon.com/images/I/711PQAFkKyL._AC_UL320_.jpg
Men's 512 Slim Tapered Fit Mid-Rise Chinos,"1,259",M.R.P:,20,3.5 out of 5 stars,https://m.media-amazon.com/images/I/51AMTnc6QNL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-26-29),499,300+ bought in past month,250,4.4 out of 5 stars,https://m.media-amazon.com/images/I/512sSoHwolL._AC_UL320_.jpg
Women's Relaxed Fit Maternity Pants,494,100+ bought in past month,694,3.9 out of 5 stars,https://m.media-amazon.com/images/I/518Oy9mft4L._AC_UL320_.jpg
Cotton Pajama Pants with All Over Print for Boys and Girls (Multicolor Designs)(Pack of 5),569,200+ bought in past month,"30,332",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71G6UQ0ZUeL._AC_UL320_.jpg
"Women's Parachute Cargo Pants/Trouser with Pockets for Hiking, Camping, Traveling, Outdoor Activities, Solid Drawstring Waist Flap Pocket Side",399,M.R.P:,27,3.1 out of 5 stars,https://m.media-amazon.com/images/I/41QMHJP25FL._AC_UL320_.jpg
Women's Rayon Blend Straight Bandhej Printed Kurta with Pant & Dupatta,599,M.R.P:,28,4.9 out of 5 stars,https://m.media-amazon.com/images/I/816fnWiEFWL._AC_UL320_.jpg
Men Work Regular Fit Utility Pants,"1,189",M.R.P:,2,4.5 out of 5 stars,https://m.media-amazon.com/images/I/51WFua0eY2L._AC_UL320_.jpg
"Men Combo Track Pant with Lycra Elastic Jogger Suitable for Active Wear, Jogger Yoga Wear, Sports (Pack of 2)",379,M.R.P:,896,3.8 out of 5 stars,https://m.media-amazon.com/images/I/41NpAQicBqL._AC_UL320_.jpg
Men's Solid Regular Fit Joggers,809,M.R.P:,1,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51SVoqfoN0L._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-34-37),599,100+ bought in past month,131,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61kjvN8OtvL._AC_UL320_.jpg
Men's Regular Casual Pants,849,M.R.P:,"1,327",3.4 out of 5 stars,https://m.media-amazon.com/images/I/511++x9nPzL._AC_UL320_.jpg
Boy's Regular Fit Track pants,429,M.R.P:,"4,353",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51ukHJgRbHL._AC_UL320_.jpg
Men's Slim Fit Flexi Waist Casual Pants,"1,799",M.R.P:,411,4.2 out of 5 stars,https://m.media-amazon.com/images/I/61ngHnT1sAL._AC_UL320_.jpg
"Little Angel Extra Dry Baby Pants Diaper, Large (L) Size, 68 Count, Super Absorbent Core Up to 12 Hrs. Protection, Soft Elastic Waist Grip & Wetness Indicator, Pack of 2, 34 count/pack, 8-14kg",530,1K+ bought in past month,"45,988",3.9 out of 5 stars,https://m.media-amazon.com/images/I/61ItizWLaaL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cargo-13-16),549,100+ bought in past month,237,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61W-417HDnL._AC_UL320_.jpg
Men's Slim Fit Flexi Waist Casual Pants,"1,699",M.R.P:,411,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71jfMhZZLQL._AC_UL320_.jpg
Men Cargo || Men Cargo Pants || Men Cargo Pants Cotton || Cargos for Men (Cago-22-25),519,100+ bought in past month,258,4.1 out of 5 stars,https://m.media-amazon.com/images/I/61IEeJb0zsL._AC_UL320_.jpg
Men's Slim Fit Stretch Knit Pants - Smart Casual | Flexi Waist,"1,399",M.R.P:,104,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61Chb1dL6+L._AC_UL320_.jpg
"Mens Cotton Three by Fourth, 3/4, Capri, Three Quarter",499,M.R.P:,354,4.0 out of 5 stars,https://m.media-amazon.com/images/I/41pE5S9bGYL._AC_UL320_.jpg
IM26 Men's Super Combed Cotton Rich Elastane Stretch Woven Fabric Slim Fit All Day Pants with Side Pockets,"1,849",N/A,4,3.0 out of 5 stars,https://m.media-amazon.com/images/I/61ifuhgQatL._AC_UL320_.jpg
Stretchable Gym Pants for Women & Tights for Women Workout with Mesh Insert & Side Pockets (2670),329,50+ bought in past month,"2,473",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61kn0x3ACUL._AC_UL320_.jpg
Men's Casual Stretchable Denim Tapered Fit Carrot Jeans_1,549,50+ bought in past month,671,3.1 out of 5 stars,https://m.media-amazon.com/images/I/51tQUQnvRPL._AC_UL320_.jpg
E014 Essentials Lounge Pants | Basic Straight Leg Pants with Adjustable Drawstring and Zipper Pockets,849,M.R.P.,"1,362",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61+ePTi64IL._AC_UL320_.jpg
Women Regular Fit Pants,999,M.R.P:,105,4.4 out of 5 stars,https://m.media-amazon.com/images/I/41df3JUdoRL._AC_UL320_.jpg
Men Casual Trousers,599,M.R.P:,114,4.0 out of 5 stars,https://m.media-amazon.com/images/I/51yWwCu1ntL._AC_UL320_.jpg
Men's Loose Casual Pants,599,M.R.P:,148,3.7 out of 5 stars,https://m.media-amazon.com/images/I/51DwAKa-pmL._AC_UL320_.jpg
Mens Cotton Rich Regular Fit Track Pants,449,M.R.P:,"2,649",3.9 out of 5 stars,https://m.media-amazon.com/images/I/810gPvDYe5L._AC_UL320_.jpg
Boys Regular Fit Pants(Pack of 5),599,50+ bought in past month,"1,077",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71SkymFFSRL._AC_UL320_.jpg
Men Slim Fit Lounge Bottom,749,M.R.P:,845,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61K33I4z4rL._AC_UL320_.jpg
"Women's Cotton Blend Formal Trouser Pants for School, Office, Casual, etc.",399,M.R.P:,N/A,N/A,https://m.media-amazon.com/images/I/61VNuYQwidL._AC_UL320_.jpg
Boys Track Pants(Pack of 3),569,300+ bought in past month,857,4.2 out of 5 stars,https://m.media-amazon.com/images/I/81Vvldnym0L._AC_UL320_.jpg
